동이름,경도,위도,TM_X,TM_Y
와동,127.431734623987,36.407592069952,238235.196967,323027.464061
평촌동,127.427616905159,36.4390069887851,238802.971993,325750.301986
계산동,127.289945203151,36.3456664954889,226510.638247,314900.114541
봉산동,127.37469207384552,36.44795042264134,234348.133547,327211.051701
장대동,127.331889116026,36.357377195399,229782.986946,317956.901416
반석동,127.315511275242,36.3893807757737,226770.200129,321516.727137
가오동,127.45777869217,36.3065783102815,241100.305743,311961.810043
지족동,127.309564564645,36.3794510030918,227238.221919,320190.923363
어은동,127.359014821229,36.378440290291,231858.283118,318888.374154
연축동,127.426391891489,36.3895663136721,238406.773737,321181.115061
신대동,127.420665240118,36.4067574445945,237327.256702,321529.741292
신흥동,127.439203961471,36.3235000258335,239777.320527,313667.47744
덕명동,127.28855814507664,36.34532019563783,225859.630881,316271.513298
도룡동,127.387083357596,36.3771630932471,234322.763176,320128.756803
읍내동,127.421524862385,36.3840648350026,238090.924544,319912.092482
대정동,127.307183073305,36.3213402437552,228348.908773,312873.327552
대성동,127.47752156158,36.2992592107479,242001.195663,310603.354351
둔곡동,127.36756978583492,36.45427618153463,232698.99659,328768.036844
천동,127.442376044831,36.313916019531,243984.876241,313749.874691
사정동,127.397754143625,36.2893534027601,235604.849476,310537.912648
선화동,127.4284484877877,36.32800529542503,237533.396825,314599.415553
가정동,127.37254594850664,36.378833223288574,233022.780242,320071.966208
송강동,127.385177134618,36.4357703013013,234108.629403,325643.344029
교촌동,127.31528644361416,36.30380015649891,227866.078641,311850.794179
봉명동,127.348278945769,36.3550740046837,231010.830978,317078.29673
상서동,127.415087609729,36.42434064808,237888.713049,324914.76941
하기동,127.320282507149,36.3863077007016,229739.723828,321110.455546
인동,127.435336181057,36.3226859931936,239286.99022,313576.063482
용산동,127.398117661268,36.4211830850931,235657.733468,324365.516128
궁동,127.350218030314,36.3621587791143,230920.082331,318571.396421
죽동,127.338132818303,36.3733627369307,229817.533699,319626.330327
문지동,127.410109106868,36.3945040537104,235512.938264,321272.044783
원내동,127.31624957599443,36.29967920124162,228697.536502,310977.066655
구암동,127.320342455856,36.3596147869831,228705.006897,317143.494485
낭월동,127.48111139874166,36.29971072880948,243255.977118,309446.297119
